event,mode,band,rho_F=1,rhoS_F=1,rho_F=nu,rhoS_F=nu,rho_F=nu^2,rhoS_F=nu^2,rho_F=log(nu),rhoS_F=log(nu),rho_F=sqrt(nu),rhoS_F=sqrt(nu)
GW150914,real,20-50,3.142006449608421e-15,0.9999999999999997,1.2490899846005357e-13,39.754532800408676,5.029024341637934e-12,1600.577345175306,1.1551278890086076e-14,3.676402030150409,1.9779424192046043e-14,6.295157094445523
GW150914,real,50-100,3.5705360976960376e-15,1.0000000000000002,2.393901775276774e-13,67.04600401103602,1.6689361377247453e-11,4674.189231139999,1.495004267361133e-14,4.187058263675909,2.909998797695709e-14,8.150033266918788
GW150914,real,100-200,4.850792863400317e-15,0.9999999999999999,7.347701958992376e-13,151.47424690984997,1.1437700397823529e-10,23579.032788891156,2.428383319331336e-14,5.0061575245847205,5.949069352772356e-14,12.264117475843257
GW151226,real,20-50,2.0782444422514414e-15,0.9999999999999999,7.67939318945863e-14,36.951347172324205,2.8553153519333587e-12,1373.9073681054028,7.495578946218182e-15,3.60668783413078,1.2623812360840896e-14,6.074267349977869
GW151226,real,50-100,1.2122638265922572e-15,1.0,9.341092394567606e-14,77.05494620610723,7.411824284962882e-12,6114.035676374129,5.2479529923386246e-15,4.329051875688578,1.0600763263861922e-14,8.744600829723076
GW151226,real,100-200,1.774164999212335e-15,1.0000000000000002,2.72911481454541e-13,153.8253102590254,4.338442414847516e-11,24453.432554320636,8.9033986941361e-15,5.0183600161703605,2.190971308483806e-14,12.349309728556916
GW170104,real,20-50,4.523890918350671e-16,1.0000000000000002,1.805274189707689e-14,39.90534303965622,7.372248753449267e-13,1629.6256666014076,1.6621663196234093e-15,3.674196282852473,2.849117627025032e-15,6.2979361758434464
GW170104,real,50-100,1.7505848688105155e-15,1.0,1.2931826442266315e-13,73.87146246187545,9.912418530472755e-12,5662.346743124786,7.498362061662178e-15,4.28334678041468,1.4975084957345554e-14,8.554332454341846
GW170104,real,100-200,3.746302950093681e-15,0.9999999999999998,5.428121017655662e-13,144.89274065568895,8.169336433457346e-11,21806.395644679676,1.8568448095088812e-14,4.95647264581859,4.48761375708287e-14,11.978779657877514
GW170608,real,20-50,7.653011109605453e-15,1.0,2.188695766737017e-13,28.5991452957639,6.450670424216064e-12,842.8931216524296,2.5560100824722706e-14,3.3398750450841104,4.078540485292031e-14,5.329327799058034
GW170608,real,50-100,2.3261403993710218e-15,1.0,1.754881390679231e-13,75.44176573149855,1.3763304696652923e-11,5916.798788402653,1.00091475466016e-14,4.3028991497280344,2.0102157087539277e-14,8.641850291140987
GW170608,real,100-200,4.328249028407288e-15,1.0000000000000002,6.35041935792031e-13,146.7202861074087,9.66220539379326e-11,22323.58935536748,2.1509693609024275e-14,4.969606292949238,5.218172324525829e-14,12.056081547706178
GW170729,real,20-50,3.55386466037538e-16,1.0,1.4003770848867685e-14,39.404344810892496,5.655633475736673e-13,1591.403729803062,1.3009789731300653e-15,3.6607442811079025,2.2236576001020514e-15,6.257012611918586
GW170729,real,50-100,1.7674790414062227e-15,0.9999999999999999,1.321113184198582e-13,74.74562092388334,1.0211518329281816e-11,5777.448043263606,7.594231834188551e-15,4.296646045741232,1.5214863453459448e-14,8.608228497778601
GW170729,real,100-200,3.531625843044469e-15,1.0000000000000002,5.298517049487861e-13,150.03053225253973,8.224518735734458e-11,23288.19388365456,1.7632873508489727e-14,4.992848702593352,4.306594899430811e-14,12.194369083329258
GW170809,real,20-50,5.723151040926144e-16,0.9999999999999999,2.2387362761822765e-14,39.11719715543267,8.914598544305445e-13,1557.6381752914297,2.0931032724445512e-15,3.6572567410449417,3.571244236234972e-15,6.239996482177514
GW170809,real,50-100,1.1432329609267081e-15,1.0,8.591644027267522e-14,75.15217213736658,6.6789788191855625e-12,5842.185317830201,4.917658965699684e-15,4.3015370740478085,9.866851915638767e-15,8.630657313834503
GW170809,real,100-200,3.491598610843792e-15,1.0,5.051821187078757e-13,144.68504974739682,7.607743311780094e-11,21788.711016646845,1.7297547898165036e-14,4.954048224341816,4.178459439886528e-14,11.967181527995706
GW170814,real,20-50,8.730729596806852e-16,1.0,3.6071938892588544e-14,41.31606470297898,1.511229324325491e-12,1730.9313128632489,3.242311775694213e-15,3.7136779231830115,5.601509405403848e-15,6.415854875922999
GW170814,real,50-100,2.6111763465292935e-15,1.0,1.8293376860739946e-13,70.05799085555833,1.331085227318115e-11,5097.6458525574435,1.1045681211930384e-14,4.230155204420418,2.1751253909424906e-14,8.330059338326995
GW170814,real,100-200,3.622817671917696e-15,0.9999999999999999,5.536805432379931e-13,152.8314680393255,8.716705555187882e-11,24060.569271138058,1.8162473322135407e-14,5.013355616243672,4.461157882134525e-14,12.314055760286344
GW170817,real,20-50,5.179428099428688e-16,1.0000000000000002,2.0994865267444015e-14,40.53510322840437,8.625766372531676e-13,1665.3897316352616,1.9138095583676684e-15,3.6950209977406,3.2917973145274724e-15,6.355522755283679
GW170817,real,50-100,1.3384083928944623e-15,0.9999999999999999,1.0027464750570605e-13,74.92081493067343,7.763783120365707e-12,5800.757946216725,5.7543111228084616e-15,4.299368678019196,1.1535864946321414e-14,8.619091906151139
GW170817,real,100-200,4.3504950413527735e-15,0.9999999999999999,6.853785669879596e-13,157.54036275716416,1.1152412795327869e-10,25634.813255321074,2.1933830562728975e-14,5.041686142436957,5.4366159475839374e-14,12.496545556097079
GW190403_051519,real,20-50,5.976115739385552e-16,0.9999999999999997,2.423856684149196e-14,40.559065283404465,1.0001674459186613e-12,1673.6078910370898,2.2073105164797132e-15,3.6935538278357756,3.7973434929661395e-15,6.354200049941758
GW190403_051519,real,50-100,2.053265578935599e-15,0.9999999999999999,1.549727024434142e-13,75.47620923141915,1.212059135793086e-11,5903.080187130056,8.838663132704813e-15,4.304685776345954,1.7754374410212778e-14,8.646896238048534
GW190403_051519,real,100-200,2.9016307965838237e-15,1.0000000000000002,4.480145839366149e-13,154.40096116434796,7.138791094984827e-11,24602.685853036637,1.4573099049333306e-14,5.022382263963649,3.590370112826395e-14,12.373628364619803
GW190412,real,20-50,9.11290427497819e-16,1.0,3.7295369556927106e-14,40.92588754534718,1.546513830994844e-12,1697.0592297794606,3.37621696593721e-15,3.7048748281132267,5.819921776549437e-15,6.386462099168012
