event,mode,band,rho_F=1,rhoS_F=1,rho_F=nu,rhoS_F=nu,rho_F=nu^2,rhoS_F=nu^2,rho_F=log(nu),rhoS_F=log(nu),rho_F=sqrt(nu),rhoS_F=sqrt(nu)
GW150914,shuffle,full,1.6811322119325936e-14,1.0,2.9735909264761904e-12,176.8802539960741,6.932529499813745e-10,41237.265282331704,8.327612073967632e-14,4.953573558854354,2.128174494124922e-13,12.659173853306982
GW151226,shuffle,full,8.697090953456658e-15,1.0,1.4788459304315143e-12,170.03914738223443,3.1805209283938323e-10,36569.9398271756,4.325565921668766e-14,4.973577883475589,1.0925344351855809e-13,12.56206748937532
GW170104,shuffle,full,1.0911080361832128e-14,1.0,2.0617724472016127e-12,188.96134744033827,4.838770649842749e-10,44347.31015976358,5.530146742581406e-14,5.068376878541122,1.4438170246997894e-13,13.232576214454273
GW170608,shuffle,full,1.8533773980737184e-14,1.0,3.330703905383537e-12,179.709966725895,7.516128414221721e-10,40553.68551506835,9.321282442643264e-14,5.029349366368235,2.3943528703978945e-13,12.918863005917906
GW170729,shuffle,full,9.977382463626848e-15,1.0,1.8575211229779568e-12,186.17319018787373,4.38870091432088e-10,43986.4957599867,5.01733236474816e-14,5.0287060589680195,1.3039649377264937e-13,13.069208707596173
GW170809,shuffle,full,1.1332553616513317e-14,1.0,2.093524768712656e-12,184.73548324201707,4.980545673443534e-10,43949.01486445291,5.68843213542693e-14,5.019550163114152,1.4738004699143176e-13,13.005016519549116
GW170814,shuffle,full,1.187771999956312e-14,1.0,2.1048368176558744e-12,177.20882608221896,4.826193972360027e-10,40632.32651163305,5.906472423061636e-14,4.972732496875565,1.5109676076858585e-13,12.721023965385903
GW170817,shuffle,full,1.06557830228823e-14,1.0000000000000002,1.837833500721526e-12,172.47287193957968,4.1164542731661175e-10,38631.17580684983,5.273018318982276e-14,4.948503838393632,1.3376793990370186e-13,12.553553278670153
GW190403_051519,shuffle,full,1.0556164205044877e-14,1.0,1.880794337516245e-12,178.17024261685867,4.349149640789588e-10,41200.09462064918,5.244474489730441e-14,4.968163044701468,1.3443020186868004e-13,12.73475850294511
GW190412,shuffle,full,1.271927542080288e-14,1.0,2.3418850121083508e-12,184.12094515054727,5.553986052784382e-10,43665.89973907331,6.371157614644668e-14,5.009057044416529,1.6490982190830518e-13,12.965347195689198
GW190413_052954,shuffle,full,9.991476959304666e-15,0.9999999999999998,1.841111263488094e-12,184.26817886754372,4.254231350503254e-10,42578.60342200416,5.0350459303024534e-14,5.0393409811284355,1.3041636262116463e-13,13.052761183591885
GW190413_134308,shuffle,full,1.0831401137821175e-14,0.9999999999999999,1.9671029516610688e-12,181.61112552579394,4.5334261146214756e-10,41854.47530690764,5.4385682650669984e-14,5.021112408141326,1.4016960083581115e-13,12.941040503648765
GW190421_213856,shuffle,full,1.1082743975430507e-14,1.0,2.056704570498693e-12,185.57719776422067,4.885894493952932e-10,44085.60285056248,5.558209397124882e-14,5.015192455448718,1.4431192810023777e-13,13.021317502250792
GW190503_185404,shuffle,full,1.054404765963738e-14,1.0,1.918199291823816e-12,181.92247927393993,4.54159173735433e-10,43072.56457820791,5.2631764599583346e-14,4.991609133279789,1.356952487652779e-13,12.869369823196017
GW190514_065416,shuffle,full,1.1083844201742626e-14,1.0,2.0434543521068115e-12,184.36332331209917,4.712339739070936e-10,42515.391350683654,5.587783069158289e-14,5.041376410072388,1.4477155313982777e-13,13.061492971641236
GW190517_055101,shuffle,full,5.580288621244015e-15,1.0,1.0483581464763876e-12,187.86808669453322,2.503075760807226e-10,44855.66841969573,2.8102406337611115e-14,5.036013053272187,7.322793263600556e-14,13.122606661818299
GW190519_153544,shuffle,full,9.769106011656888e-15,0.9999999999999999,1.8703033942554412e-12,191.45082385468234,4.497911359565057e-10,46042.200322096716,4.9477130705206454e-14,5.064652860371089,1.2968242056219832e-13,13.27474800738738
GW190521,shuffle,full,1.2347155823425004e-14,1.0,2.4008849152848103e-12,194.44841788826017,5.744517530848137e-10,46525.02659721558,6.294581833584667e-14,5.098001453616223,1.6584008944483031e-13,13.431440553313402
GW190828_063405,shuffle,full,9.733293668579096e-15,1.0,1.763306174632316e-12,181.16233154708976,4.0772615084845044e-10,41889.84373960351,4.877446253618639e-14,5.011095339046385,1.2561380402394015e-13,12.905580402802922
GW190828_065509,shuffle,full,1.1206349594638486e-14,0.9999999999999999,2.0203791109740798e-12,180.28878127634897,4.5946684280752777e-10,41000.58086955924,5.619480268307826e-14,5.014550207318522,1.4456445299448226e-13,12.900226944878376
